8.58,38.38,1021.03,84.37,482.26
21.79,58.2,1017.21,66.74,446.94
16.64,48.92,1011.55,78.76,452.56
31.38,71.32,1009.17,60.42,433.44
9.2,40.03,1017.05,92.46,480.38
26.82,69.23,1013.28,50.86,436.36
9.48,40.8,1023.82,78.98,485.36
9.41,41.54,1019.48,82.19,481.59
31.03,69.59,1007.77,63.96,432.56
18.24,59.15,1012,84.4,449.48
19.96,39.53,1006.16,62.77,460.49
14.43,39.82,1012.56,78.52,470.17
14.38,40.71,1023.46,66.12,473.41
5.23,35.57,1026.23,79.38,488.5
14.43,41.76,1024.02,83.57,467.33
29.81,73.67,1005.6,60.91,430.67
17.79,43.52,1020.65,68.29,458.57
22.95,63.94,1013.91,81.52,438.33
18.94,48.7,1008.5,94.83,451.38
28.01,64.69,1007.61,58.45,440.23
28.08,59.14,1016.16,58.08,438.83
13.57,42.99,1007.51,88.95,472.04
11.36,41.48,1012.8,76.16,465.37
25.99,59.54,1007.78,74.48,441.32
15.19,41.43,1011.34,89.67,470.41
23.94,51.95,1008.18,71.87,451.84
28.56,74.22,1007.45,69.6,434.54
22.71,75.23,1010.48,76.86,444
6.3,39.33,1010.63,94.26,489.95
11.19,40.64,1020.57,84.49,472.86
25.96,68.08,1010.86,67.07,435.84
28.88,54.89,1007.16,46.6,440.99
21.93,60.84,1017.8,82.61,443.89
11.2,35.76,1019.24,64.59,473.33
25.16,58.82,1009.63,72.62,442
8.88,39.66,1015.21,88.29,481.45
31.63,69.59,1008.66,61.81,436.89
22.11,59.8,1016.86,70.14,450.62
21.69,44.57,1005.84,71.53,447.88
18.2,45.01,1013.82,68.14,452.21
12.14,44.85,1014.36,60.04,476.68
26.31,48.6,1002.64,60.04,440.06
17.27,43.52,1021.37,76.73,460.08
27.11,48.6,1002.78,53.39,439.4
14.81,39.58,1011.62,73.64,467.32
7.65,36.3,1016.5,65.51,482.56
25.7,69.45,1013.86,56.91,437.04
17.27,44.9,1007.85,78.8,454.19
30.2,69.59,1008.9,67.32,434.66
10.8,40.69,1014.3,87.44,478.19
8.07,41.17,1019.4,86.43,484.54
27.78,73.56,1007.05,95.32,436.5
21.23,68.08,1012.82,74.57,445.41
23.37,63.87,1016.67,60.44,446.42
21.45,60.84,1017.86,82.8,444.99
6.17,40.07,1013.7,58.99,495.21
7.87,41.17,1020.33,77.77,486.2
22.95,66.54,1004.53,88.06,434.41
27.28,47.93,1003.46,59.22,438
18.91,45.01,1012.9,59.81,456.12
26.75,58.33,1013.55,45.47,444.09
27.75,65.34,1014.8,45.91,440.83
6.89,43.65,1019.87,72.77,484
30.24,73.9,1006.74,56.39,441.31
32.05,77.24,1008.06,67.09,432.49
15.24,44.45,1020.56,66.13,460.94
13.13,40.75,1016.05,80.87,472.5
9.06,41.92,1029.9,90.88,473.37
29.68,64.33,1011.2,57.73,441.79
9.63,41.14,1027.99,87.89,469.73
8.86,40.23,1017.57,90.47,478.05
23.45,69.05,1003.03,66.41,440.24
9.51,40.46,1018.84,70.12,471.32
10.52,41.78,1013.54,71.52,474.58
4.93,38.44,1015.65,71.47,485.01
23.01,66.54,1009.86,64.53,442.47
10.59,41.54,1019.94,73.88,477.05
5.52,42.85,1012.77,93.82,478.98
30.67,72.86,1004.25,52.72,432.76
11.1,40,1021.29,86.58,477.2
5.37,40.07,1012.75,63.58,494.21
22.57,62.4,1009.77,86.05,444.69
18.9,56.03,1020.77,71.83,457.66
11.7,43.41,1016.08,62.27,467.51
27.49,71.94,1008.25,68.29,428.27
10.2,40.67,1016.15,73.2,482.26
26.23,59.87,1012.93,66.62,447.16
16.34,42.28,1008.08,52.8,463.29
8.97,44.03,1013.16,80.39,474.61
31.97,79.74,1007.03,55.84,435.99
30.29,74.16,1008.77,75.23,431.39
14.92,46.18,1014.21,98.82,465.63
30.3,73.9,1006.72,55.13,440.79
29.62,73.18,1012.21,61.6,427.22
15.63,37.87,1020.4,74.77,465.28
18.21,45,1022.86,48.84,467.54
31.92,75.33,1001.81,61.97,436.38
14.85,45.87,1009.37,84.65,462.67
25.34,70.47,1006.46,83.94,433.34
22.5,70.94,1008.04,82.39,442.4
13.27,42.28,1008.3,86.2,468.86
7.99,41.38,1021.95,78.77,487.57
18.36,62.1,1019.9,79.09,453.5
30.55,66.25,1009.15,63.52,440.74
16.73,45,1023.44,60.68,467.08
14.22,45.01,1014.17,70.14,464.06
18.06,52.08,1003.73,100.09,452.19
11.06,41.16,1018.52,89.14,467.46
16.77,42.28,1007.53,73.19,465.52
18.99,62.1,1020,76.76,453.09
16.55,46.18,1009.97,96.54,455.8
22.21,45.01,1012.22,54.84,450.6
28.88,66.56,1006.26,59.15,426.66
23.02,69.94,1007.94,64.66,439.4
21.67,69.71,1010.46,96.83,440.16
9.96,39.66,1015.23,82.98,480.6
7.69,39.96,1023.9,89.18,478.05
18.32,66.51,1015.18,81.5,459.89
7.04,39.37,1019.37,69.11,488
17.45,49.64,1026.4,66.67,454.67
23.64,69.94,1005.2,64.53,439.66
12.72,40.6,1013.45,86.16,471.23
16.5,39.72,1003.05,65.99,459.06
26.81,74.9,1003.99,79.88,435.56
23.2,49.3,1003.4,79.77,440.75
19.18,58.2,1017.46,76.72,453.2
16.4,38.01,1022.2,73.05,463.79
9.53,38.38,1020.49,80.08,478.03
29.35,68.51,1007.63,70.67,430.22
27.89,69.88,1007.99,85.62,430.75
23.66,61.86,1013.33,83.09,444.27
